Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,BTCBitcoin,BTC,"$196,625,430,120",$11761.60,"16,717,575","$5,490,210,000",-0.03%,6.26%,26.91%
2,ETHEthereum,ETH,"$46,189,386,372",$480.58,"96,112,353","$828,618,000",0.11%,3.25%,3.80%
3,BCHBitcoin Cash,BCH,"$27,422,563,720",$1628.81,"16,835,950","$1,339,170,000",0.67%,12.39%,-1.16%
4,XRPRipple,XRP,"$10,023,600,443",$0.259525,"38,622,870,411*","$112,554,000",-0.06%,1.96%,3.69%
5,DASHDash,DASH,"$6,090,265,772",$787.74,"7,731,324","$179,450,000",0.53%,1.26%,25.75%
6,LTCLitecoin,LTC,"$5,609,153,630",$103.66,"54,108,983","$269,395,000",-0.10%,2.58%,20.40%
7,BTGBitcoin Gold,BTG,"$5,578,000,161",$334.29,"16,686,261","$234,014,000",0.24%,11.25%,-3.55%
8,MIOTAIOTA,MIOTA,"$5,357,433,439",$1.93,"2,779,530,283*","$345,500,000",0.46%,36.30%,141.91%
9,ADACardano,ADA,"$3,514,932,953",$0.135570,"25,927,070,538*","$49,244,700",1.70%,1.95%,265.01%
10,XMRMonero,XMR,"$3,156,072,806",$204.51,"15,432,138","$110,149,000",-0.22%,7.49%,25.45%
11,ETCEthereum Classic,ETC,"$3,049,555,313",$31.10,"98,044,146","$370,416,000",-0.65%,0.77%,40.41%
12,XEMNEM,XEM,"$2,527,785,000",$0.280865,"8,999,999,999*","$44,329,700",0.49%,11.45%,29.92%
13,NEONEO,NEO,"$2,507,817,000",$38.58,"65,000,000*","$65,463,000",1.03%,8.75%,0.51%
14,EOSEOS,EOS,"$1,972,116,331",$3.83,"514,805,349*","$139,914,000",-0.24%,5.06%,56.16%
15,XLMStellar Lumens,XLM,"$1,674,930,667",$0.094294,"17,762,892,862*","$61,946,900",1.41%,-0.42%,98.13%
16,BCCBitConnect,BCC,"$1,062,714,928",$333.59,"3,185,692","$16,945,900",-0.19%,4.38%,10.90%
17,OMGOmiseGO,OMG,"$1,002,852,770",$9.83,"102,042,552*","$50,580,600",0.19%,5.82%,15.41%
18,QTUMQtum,QTUM,"$995,784,784",$13.51,"73,696,328*","$101,901,000",-0.54%,4.36%,-8.58%
19,ZECZcash,ZEC,"$925,554,989",$335.87,"2,755,719","$73,247,100",0.36%,3.13%,-1.16%
20,LSKLisk,LSK,"$920,337,860",$7.96,"115,551,816*","$21,766,900",-0.16%,3.69%,3.58%
21,USDTTether,USDT,"$814,627,861",$1.00,"814,017,348*","$706,304,000",0.01%,-0.04%,-0.83%
22,HSRHshare,HSR,"$790,196,642",$18.67,"42,325,992","$69,193,400",-0.01%,6.81%,-8.89%
23,WAVESWaves,WAVES,"$653,654,000",$6.54,"100,000,000*","$34,423,400",0.15%,9.30%,15.82%
24,STRATStratis,STRAT,"$630,475,881",$6.39,"98,646,416*","$19,218,200",1.49%,10.08%,38.79%
25,PPTPopulous,PPT,"$554,471,438",$13.44,"41,252,246*","$1,082,250",-0.63%,7.09%,20.21%
26,ARDRArdor,ARDR,"$512,720,507",$0.513234,"998,999,495*","$19,743,100",2.15%,31.69%,66.63%
27,NXTNxt,NXT,"$450,163,360",$0.450614,"998,999,942*","$260,768,000",-0.49%,72.83%,197.57%
28,ARKArk,ARK,"$420,087,896",$4.29,"97,981,284*","$18,091,700",0.24%,25.94%,23.72%
29,MONAMonaCoin,MONA,"$414,011,881",$7.43,"55,758,350","$18,671,100",0.70%,10.98%,64.09%
30,REPAugur,REP,"$389,802,600",$35.44,"11,000,000*","$27,047,300",-1.70%,27.61%,29.04%
31,BCNBytecoin,BCN,"$382,424,471",$0.002087,"183,253,534,612","$5,274,050",2.15%,11.99%,24.99%
32,BTSBitShares,BTS,"$381,270,534",$0.146442,"2,603,560,000*","$9,918,660",0.91%,5.15%,6.08%
33,DCRDecred,DCR,"$349,770,055",$55.66,"6,283,878","$4,038,600",-1.61%,0.58%,-3.29%
34,VTCVertcoin,VTC,"$347,330,415",$8.32,"41,760,950","$48,632,400",2.55%,10.96%,55.36%
35,KMDKomodo,KMD,"$309,492,957",$2.99,"103,677,870","$5,200,860",1.07%,7.55%,2.49%
36,STEEMSteem,STEEM,"$301,979,337",$1.22,"246,965,338*","$5,372,520",0.52%,11.59%,13.53%
37,PIVXPIVX,PIVX,"$293,771,558",$5.34,"55,047,934*","$12,333,500",-1.39%,24.48%,53.24%
38,SALTSALT,SALT,"$283,437,586",$5.59,"50,741,342*","$13,580,700",0.41%,4.54%,31.29%
39,GNTGolem,GNT,"$277,370,500",$0.332965,"833,032,000*","$5,111,860",0.60%,6.03%,23.80%
40,SCSiacoin,SC,"$273,894,100",$0.008746,"31,315,532,234","$29,198,000",2.28%,29.72%,59.53%
41,SNTStatus,SNT,"$269,243,950",$0.077581,"3,470,483,788*","$27,558,400",2.08%,3.97%,115.74%
42,MAIDMaidSafeCoin,MAID,"$260,209,491",$0.574982,"452,552,412*","$2,932,820",-0.02%,13.74%,24.09%
43,POWRPower Ledger,POWR,"$260,079,132",$0.740779,"351,088,694*","$35,091,000",0.95%,5.13%,-3.20%
44,PAYTenX,PAY,"$259,782,977",$2.48,"104,661,310*","$5,834,660",0.46%,7.09%,10.10%
45,DOGEDogecoin,DOGE,"$257,850,166",$0.002298,"112,190,227,651","$4,767,740",0.95%,9.15%,15.68%
46,WTCWalton,WTC,"$246,482,252",$9.90,"24,898,178*","$29,893,800",2.94%,14.88%,90.98%
47,BNBBinance Coin,BNB,"$228,370,840",$2.31,"99,014,000*","$34,190,800",0.33%,12.86%,23.03%
48,DGDDigixDAO,DGD,"$223,650,000",$111.83,"2,000,000*","$5,325,420",0.59%,8.81%,25.57%
49,VERIVeritaseum,VERI,"$210,362,272",$103.83,"2,026,045*","$603,099",-1.48%,7.74%,15.86%
50,FCTFactom,FCT,"$199,182,816",$22.78,"8,745,102*","$4,869,780",-0.11%,2.08%,1.41%
51,EMC2Einsteinium,EMC2,"$192,229,111",$0.889627,"216,078,324","$47,924,900",-1.84%,-2.56%,72.89%
52,RDNRaiden Networ...,RDN,"$188,130,223",$3.75,"50,148,936*","$14,444,600",1.96%,6.38%,-22.81%
53,XUCExchange Union,XUC,"$182,261,566",$7.35,"24,798,538*","$1,426,630",-2.26%,-0.58%,-7.93%
54,SYSSyscoin,SYS,"$182,225,533",$0.344280,"529,294,565","$5,676,680",7.12%,5.25%,5.55%
55,GASGas,GAS,"$180,167,211",$20.96,"8,597,035*","$1,449,520",-0.51%,7.30%,-5.72%
56,BATBasic Attenti...,BAT,"$175,029,000",$0.175029,"1,000,000,000*","$3,909,520",-0.54%,1.10%,0.28%
57,BTCDBitcoinDark,BTCD,"$174,413,986",$135.32,"1,288,862","$56,604",-1.48%,2.46%,0.38%
58,CNXCryptonex,CNX,"$163,553,664",$3.64,"44,993,759","$223,575",0.01%,11.83%,76.80%
59,ICNIconomi,ICN,"$163,387,398",$1.64,"99,788,314*","$1,155,730",0.18%,10.50%,-0.55%
60,GBYTEByteball Bytes,GBYTE,"$163,302,475",$253.09,"645,222*","$597,436",-0.11%,2.52%,-2.38%
61,MNXMinexCoin,MNX,"$161,373,900",$53.79,"3,000,000","$1,433,970",-17.97%,37.23%,305.93%
62,SANSantiment Net...,SAN,"$160,803,600",$2.66,"60,522,560*","$53,419,700",5.18%,47.36%,102.36%
63,KNCKyber Network,KNC,"$159,784,234",$1.19,"134,132,697*","$14,513,700",1.33%,8.48%,-8.09%
64,AEAeternity,AE,"$149,909,992",$0.643334,"233,020,472*","$1,190,250",-0.83%,12.00%,12.42%
65,TRXTRON,TRX,"$143,030,590",$0.002175,"65,748,192,475*","$7,831,670",0.78%,5.15%,3.34%
66,GAMEGameCredits,GAME,"$135,661,726",$2.11,"64,355,352","$1,649,070",-0.73%,4.87%,-1.50%
67,XZCZCoin,XZC,"$135,333,581",$37.87,"3,573,654","$4,900,230",0.31%,-0.31%,6.28%
68,DGBDigiByte,DGB,"$134,532,566",$0.014166,"9,496,930,368","$7,570,800",-1.24%,15.70%,33.87%
69,GNOGnosis,GNO,"$131,749,972",$119.28,"1,104,590*","$1,248,510",0.24%,10.97%,8.59%
70,MTLMetal,MTL,"$123,438,156",$6.40,"19,300,994*","$10,851,300",0.77%,20.58%,25.17%
71,FUNFunFair,FUN,"$123,104,814",$0.028967,"4,249,873,622*","$1,118,180",2.35%,15.27%,28.38%
72,BTMBytom,BTM,"$121,745,463",$0.123349,"987,000,000*","$2,206,970",-0.23%,6.34%,17.72%
73,CVCCivic,CVC,"$121,366,177",$0.354147,"342,700,000*","$5,930,070",-0.88%,15.82%,3.56%
74,GXSGXShares,GXS,"$118,393,311",$2.92,"40,510,000*","$8,876,500",0.33%,0.54%,-2.54%
75,VENVeChain,VEN,"$118,005,594",$0.425763,"277,162,633*","$8,960,610",1.83%,23.98%,74.89%
76,BLOCKBlocknet,BLOCK,"$111,877,877",$22.78,"4,911,254*","$206,669",-0.62%,3.82%,-2.71%
77,ETHOSEthos,ETHOS,"$110,860,003",$1.48,"74,923,632*","$1,502,410",-1.38%,-3.05%,-14.44%
78,ZRX0x,ZRX,"$108,769,000",$0.217538,"500,000,000*","$4,464,650",0.52%,-1.41%,-4.00%
79,BNTBancor,BNT,"$107,682,782",$2.64,"40,772,871*","$3,010,190",-0.14%,5.09%,0.73%
80,ETPMetaverse ETP,ETP,"$104,324,794",$2.85,"36,546,588","$3,785,920",0.59%,0.75%,-23.41%
81,XVGVerge,XVG,"$104,119,599",$0.007260,"14,340,831,443","$5,694,640",0.35%,21.84%,18.46%
82,PURAPura,PURA,"$98,734,691",$0.574234,"171,941,561","$421,476",-2.55%,0.30%,-14.47%
83,SNGLSSingularDTV,SNGLS,"$96,918,000",$0.161530,"600,000,000*","$3,776,120",2.20%,-5.33%,3.82%
84,POTPotCoin,POT,"$95,464,296",$0.436168,"218,870,472*","$6,645,080",-1.97%,13.28%,48.24%
85,EDGEdgeless,EDG,"$92,981,417",$1.13,"82,046,288*","$5,821,860",1.65%,32.19%,33.07%
86,PPCPeercoin,PPC,"$87,873,927",$3.59,"24,486,762","$2,900,460",-1.47%,-1.00%,84.91%
87,LINKChainLink,LINK,"$86,641,450",$0.247547,"350,000,000*","$9,894,000",-2.17%,17.91%,37.01%
88,QSPQuantstamp,QSP,"$86,096,807",$0.139470,"617,314,171*","$23,392,700",3.94%,24.07%,-15.89%
89,STORJStorj,STORJ,"$85,585,053",$0.811897,"105,413,683*","$8,381,680",-1.10%,9.68%,9.64%
90,LRCLoopring,LRC,"$83,139,186",$0.290523,"286,170,756*","$9,049,340",-0.60%,21.92%,42.95%
