Data,Tipus,Nom,Simbol,Preu (Euros),Tipus_cotitzacio
2017-11-19,crypto_moneda,BTCBitcoin,BTC,6832.132357049,molt_alta
2017-11-19,crypto_moneda,ETHEthereum,ETH,298.516340662,alta
2017-11-19,crypto_moneda,BCHBitcoin Cash,BCH,1003.033599074,molt_alta
2017-11-19,crypto_moneda,XRPRipple,XRP,0.195272854,baixa
2017-11-19,crypto_moneda,LTCLitecoin,LTC,60.102649516,normal
2017-11-19,crypto_moneda,DASHDash,DASH,372.095987511,alta
2017-11-19,crypto_moneda,NEONEO,NEO,32.961710374,normal
2017-11-19,crypto_moneda,MIOTAIOTA,MIOTA,0.729219422,baixa
2017-11-19,crypto_moneda,XMRMonero,XMR,108.665726285,alta
2017-11-19,crypto_moneda,XEMNEM,XEM,0.172424840,baixa
2017-11-19,crypto_moneda,ETCEthereum Classic,ETC,15.117010249,normal
2017-11-19,crypto_moneda,LSKLisk,LSK,7.860165531,normal
2017-11-19,crypto_moneda,QTUMQtum,QTUM,11.777502082,normal
2017-11-19,crypto_moneda,EOSEOS,EOS,1.606023011,normal
2017-11-19,crypto_moneda,HSRHshare,HSR,16.476606449,normal
2017-11-19,crypto_moneda,OMGOmiseGO,OMG,6.594041570,normal
2017-11-19,crypto_moneda,ZECZcash,ZEC,250.692544327,alta
2017-11-19,crypto_moneda,ADACardano,ADA,0.023438589,baixa
2017-11-19,crypto_moneda,USDTTether,USDT,0.847027583,baixa
2017-11-19,crypto_moneda,XLMStellar Lumens,XLM,0.030826295,baixa
2017-11-19,crypto_moneda,BCCBitConnect,BCC,248.721129838,alta
2017-11-19,crypto_moneda,WAVESWaves,WAVES,4.265733077,normal
2017-11-19,crypto_moneda,PPTPopulous,PPT,7.970632723,normal
2017-11-19,crypto_moneda,STRATStratis,STRAT,2.931629306,normal
2017-11-19,crypto_moneda,ARKArk,ARK,2.642715114,normal
2017-11-19,crypto_moneda,BTSBitShares,BTS,0.086727792,baixa
2017-11-19,crypto_moneda,BCNBytecoin,BCN,0.001109770,baixa
2017-11-19,crypto_moneda,ARDRArdor,ARDR,0.202691151,baixa
2017-11-19,crypto_moneda,KMDKomodo,KMD,1.979911966,normal
2017-11-19,crypto_moneda,VERIVeritaseum,VERI,94.271001517,normal
2017-11-19,crypto_moneda,REPAugur,REP,17.207389406,normal
2017-11-19,crypto_moneda,STEEMSteem,STEEM,0.764804303,baixa
2017-11-19,crypto_moneda,DCRDecred,DCR,29.214323348,normal
2017-11-19,crypto_moneda,GASGas,GAS,19.688652471,normal
2017-11-19,crypto_moneda,SALTSALT,SALT,3.220543499,normal
2017-11-19,crypto_moneda,GNTGolem,GNT,0.183369589,baixa
2017-11-19,crypto_moneda,MAIDMaidSafeCoin,MAID,0.329993542,baixa
2017-11-19,crypto_moneda,PAYTenX,PAY,1.427576010,normal
2017-11-19,crypto_moneda,VTCVertcoin,VTC,3.543447596,normal
2017-11-19,crypto_moneda,FCTFactom,FCT,16.493601401,normal
2017-11-19,crypto_moneda,MONAMonaCoin,MONA,2.574735304,normal
2017-11-19,crypto_moneda,PIVXPIVX,PIVX,2.591730256,normal
2017-11-19,crypto_moneda,GBYTEByteball Bytes,GBYTE,212.479393631,alta
2017-11-19,crypto_moneda,BATBasic Attenti...,BAT,0.136015703,baixa
2017-11-19,crypto_moneda,BNBBinance Coin,BNB,1.368093676,normal
2017-11-19,crypto_moneda,DOGEDogecoin,DOGE,0.001168403,baixa
2017-11-19,crypto_moneda,KNCKyber Network,KNC,0.943219864,baixa
2017-11-19,crypto_moneda,DGDDigixDAO,DGD,59.754252990,normal
2017-11-19,crypto_moneda,BTCDBitcoinDark,BTCD,92.172124884,normal
2017-11-19,crypto_moneda,POWRPower Ledger,POWR,0.327147737,baixa
2017-11-19,crypto_moneda,SCSiacoin,SC,0.003647117,baixa
2017-11-19,crypto_moneda,TRXTRON,TRX,0.001675702,baixa
2017-11-19,crypto_moneda,WTCWalton,WTC,4.180758315,normal
2017-11-19,crypto_moneda,GAMEGameCredits,GAME,1.614520487,normal
2017-11-19,crypto_moneda,AEAeternity,AE,0.439312724,baixa
2017-11-19,crypto_moneda,ETPMetaverse ETP,ETP,2.736187353,normal
2017-11-19,crypto_moneda,PURAPura,PURA,0.576421203,baixa
2017-11-19,crypto_moneda,BTMBytom,BTM,0.097717578,baixa
2017-11-19,crypto_moneda,RDNRaiden Networ...,RDN,1.860947299,normal
2017-11-19,crypto_moneda,SYSSyscoin,SYS,0.172577794,baixa
2017-11-19,crypto_moneda,ICNIconomi,ICN,0.909229959,baixa
2017-11-19,crypto_moneda,BLOCKBlocknet,BLOCK,18.507503273,normal
2017-11-19,crypto_moneda,SNTStatus,SNT,0.024674122,baixa
2017-11-19,crypto_moneda,BQXBitquence,BQX,1.181149199,normal
2017-11-19,crypto_moneda,ZRX0x,ZRX,0.168849102,baixa
2017-11-19,crypto_moneda,CVCCivic,CVC,0.234656957,baixa
2017-11-19,crypto_moneda,LKKLykke,LKK,0.303463571,baixa
2017-11-19,crypto_moneda,GXSGXShares,GXS,1.920429632,normal
2017-11-19,crypto_moneda,XVGVerge,XVG,0.005203854,baixa
2017-11-19,crypto_moneda,ATMATMChain,ATM,0.022423990,baixa
2017-11-19,crypto_moneda,DGBDigiByte,DGB,0.007818528,baixa
2017-11-19,crypto_moneda,BNTBancor,BNT,1.758977584,normal
2017-11-19,crypto_moneda,SNGLSSingularDTV,SNGLS,0.115090668,baixa
2017-11-19,crypto_moneda,MTLMetal,MTL,3.551945072,normal
2017-11-19,crypto_moneda,XZCZCoin,XZC,19.272276135,normal
2017-11-19,crypto_moneda,NXTNxt,NXT,0.064877381,baixa
2017-11-19,crypto_moneda,GNOGnosis,GNO,58.301184551,normal
