Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,91",pujada,"+1,45%","0,07","36.658,50","45,55","0,00","0,00%",12/10
ABENGOA,"0,03",pujada,"+3,45%","0,00","37.032,87","49,12","0,00","0,00%",10:31
ABENGOA CL.B,"0,01",baixada,"-8,33%","-0,00","35.295,68","189,19","0,00","0,00%",10:31
ABERTIS,"17,48",pujada,"+0,29%","0,05","14.338.997,91","17.331,67","18,48","4,40%",10:34
ACCIONA,"68,58",pujada,"+0,59%","0,40","1.385.519,47","3.937,17","15,26","4,38%",10:33
ACERINOX,"12,28",pujada,"+1,24%","0,15","2.698.876,99","3.401,15","15,42","3,75%",10:34
ACS,"31,30",pujada,"+0,69%","0,22","1.872.162,74","9.900,92","12,65","3,87%",10:34
ADVEO,"2,93",pujada,"+5,40%","0,15","51.471,87","61,70","17,60","0,00%",10:29
AENA,"151,20",baixada,"-0,40%","-0,60","1.007.551,65","22.755,00","18,96","2,67%",10:35
AIRBUS,"77,70",baixada,"-0,77%","-0,60","116.056,70","60.176,12","24,51","1,75%",10:30
ALANTRA,"11,80",pujada,"+0,43%","0,05","8.539,70","419,34","11,54","7,61%",12/10
ALBA,"49,61",pujada,"+0,81%","0,40","57.756,58","2.901,01","7,26","1,97%",10:12
ALMIRALL,"8,30",pujada,"+0,24%","0,02","184.560,85","1.435,49","105,38","2,14%",10:33
AMADEUS,"56,95",baixada,"-0,85%","-0,49","3.873.757,87","25.083,09","24,27","1,85%",10:33
AMPER,"0,21",pujada,"+1,46%","0,00","528.724,02","174,95","0,00","0,00%",10:31
APPLUS SERVICES,"10,94",pujada,"+0,18%","0,02","324.937,36","1.706,86","17,35","1,20%",10:34
ARCELORMITTAL,"23,50",pujada,"+2,40%","0,55","13.792.307,09","24.014,74","0,00","0,00%",10:34
AXIA REAL ESTATE,"16,60",baixada,"-1,07%","-0,18","163.926,10","1.325,88","45,57","1,73%",10:34
AZKOYEN,"7,57",baixada,"-3,20%","-0,25","741,86","189,14","16,74","0,00%",09:00
Atresmedia,"8,84",pujada,"+0,11%","0,01","177.184,03","1.980,54","13,18","6,44%",10:29
BANKIA,"4,03",baixada,"-0,20%","-0,01","1.440.674,72","11.612,35","13,80","3,18%",10:34
BANKINTER,"7,91",baixada,"-0,33%","-0,03","954.419,34","7.137,90","14,79","3,32%",10:34
BARON DE LEY,"108,30",pujada,"+0,93%","1,00","43.749,90","438,55","19,85","0,00%",09:14
BBVA,"7,37",pujada,"+0,01%","0,00","12.424.206,07","49.249,01","11,46","3,42%",10:34
BIOSEARCH,"0,45",pujada,"+0,00%","0,00","14.875,01","25,96","0,00","0,00%",10:03
BME,"28,860",pujada,"+0,07%","0,020","191.945,45","2.406,04","15,05","6,29%",10:15
CAIXABANK,"4,06",baixada,"-0,37%","-0,02","5.727.213,83","24.368,38","14,00","3,44%",10:35
CELLNEX TELECOM,"20,47",pujada,"+0,84%","0,17","2.494.434,66","4.741,40","64,20","0,53%",10:34
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"24,37",pujada,"+0,68%","0,17","761.728,70","3.141,15","14,09","2,18%",10:27
CLINICA BAVIERA,"8,02",pujada,"+0,00%","0,00","16,04","132,09","23,00","2,38%",12/10
COCA-COLA EUR,"35,15",pujada,"+0,00%","0,00","1.827,80","17.098,67","16,13","2,42%",10:05
CODERE,"0,37",baixada,"-2,63%","-0,01","459.976,42","942,97","0,00","0,00%",10:32
COEMAC,"0,37",baixada,"-1,33%","-0,01","6.447,50","72,09","59,43","0,00%",10:09
DEOLEO SA,"0,18",pujada,"+0,00%","0,00","13.487,62","202,07","93,33","0,00%",09:59
DIA,"4,42",pujada,"+0,84%","0,04","2.159.676,85","2.750,64","11,26","4,40%",10:34
DOGI INTL FABRICS,"3,74",pujada,"+2,47%","0,09","28.656,16","259,58","0,00","0,00%",10:32
DURO FELGUERA,"0,52",baixada,"-1,89%","-0,01","5.397,60","83,20","51,00","4,31%",10:34
EBRO FOODS,"20,56",pujada,"+0,10%","0,02","99.442,78","3.165,78","17,05","3,29%",10:25
EDREAMS ODIGEO REG,"2,43",baixada,"-0,69%","-0,02","16.765,41","265,49","8,47","0,00%",10:29
ELECNOR,"11,99",pujada,"+1,17%","0,14","118.536,96","1.044,87","11,27","2,33%",12/10
ENAGAS,"24,25",baixada,"-0,14%","-0,04","2.376.422,52","5.792,89","11,94","6,26%",10:33
ENCE,"4,660",baixada,"-1,17%","-0,055","377.349,36","1.148,86","13,19","3,32%",10:32
ENDESA,"19,57",pujada,"+0,26%","0,05","2.821.411,98","20.725,07","14,69","7,13%",10:34
ERCROS,"2,77",pujada,"+4,33%","0,12","608.150,72","299,53","7,02","0,00%",10:33
EUROPAC,"7,95",baixada,"-0,06%","-0,01","8.239,19","771,64","12,43","3,84%",10:27
EUSKALTEL,"7,79",pujada,"+0,95%","0,07","151.639,93","1.388,43","18,38","4,66%",10:29
FAES FARMA,"2,800",baixada,"-0,71%","-0,020","251.122,28","719,01","17,33","0,93%",10:32
FCC,"8,00",pujada,"+0,21%","0,02","9.190,70","3.034,39","18,18","0,00%",10:24
FERROCARRILES,"34,61",pujada,"+0,26%","0,09","148.332,36","1.188,17","25,96","1,70%",10:33
FERSA ENERGIAS,"0,46",pujada,"+1,11%","0,01","5.801,35","64,40","91,57","0,00%",10:20
FLUIDRA,"8,80",baixada,"-0,62%","-0,06","46.560,30","996,20","24,56","1,82%",10:27
GAM,"1,34",baixada,"-0,74%","-0,01","5.564,00","42,61","0,00","0,00%",10:13
GAMESA,"12,59",pujada,"+0,24%","0,03","4.198.388,23","8.568,78","12,94","1,55%",10:33
GAS NATURAL,"18,66",pujada,"+0,54%","0,10","1.119.753,26","18.657,85","14,13","5,46%",10:34
GLOBAL DOMINION,"4,10",baixada,"-0,99%","-0,04","142.286,24","699,34","23,76","0,00%",10:26
GR.EMPRES.SAN JOSE,"3,04",pujada,"+2,70%","0,08","173.593,82","195,08","0,00","0,00%",10:29
GRIFOLS,"24,35",pujada,"+0,39%","0,10","284.489,07","10.399,70","24,50","1,45%",10:31
GRIFOLS CL.B,"17,89",pujada,"+0,20%","0,04","1.913,71","4.601,08","0,00","0,00%",09:00
GRUPO CATALANA OCC,"34,58",pujada,"+0,49%","0,17","77.163,81","4.138,80","12,09","2,29%",10:30
GRUPO EZENTIS SA,"0,59",pujada,"+0,51%","0,00","20.282,03","143,47","27,15","0,00%",10:33
GRUPO FERROVIAL,"30,83",baixada,"0,00%","0,00","0,00","4.324,36","0,00","0,00%",4/12
GRUPO PRISA,"3,40",pujada,"+1,46%","0,05","57.818,41","262,90","6,16","0,00%",10:14
HISPANIA ACTIVOS,"14,93",baixada,"-1,16%","-0,18","210.558,80","1.644,64","21,07","3,57%",10:33
IAG (IBERIA),"6,97",baixada,"-0,06%","-0,00","2.040.838,61","14.894,66","6,96","3,88%",10:32
IBERDROLA,"6,77",pujada,"+0,19%","0,01","5.825.336,65","42.801,16","14,86","5,03%",10:34
IBERPAPEL GESTION,"26,50",pujada,"+1,40%","0,37","1.236,02","289,77","14,71","2,38%",12/10
INDITEX,"31,23",baixada,"-0,54%","-0,17","12.030.363,86","97.597,96","28,13","2,39%",10:33
INDRA,"13,26",pujada,"+0,00%","0,00","302.049,90","2.351,27","19,14","0,00%",10:34
