Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"12,41",pujada,"+1,76%","0,22","14.874.278,07","3.427,38","16,06","3,65%",20/10
ACS,"33,30",baixada,"-0,45%","-0,15","21.237.369,24","10.454,73","12,37","3,85%",20/10
DIA,"4,42",pujada,"+1,03%","0,05","13.775.613,37","2.744,41","10,42","4,80%",20/10
FERROVIAL,"18,45",baixada,"-1,63%","-0,31","46.050.871,43","13.610,86","33,90","3,17%",20/10
GAMESA,"11,28",baixada,"-4,33%","-0,51","59.255.545,21","7.979,59","13,19","1,28%",20/10
INDITEX,"30,99",pujada,"+0,31%","0,10","99.124.478,24","96.429,21","28,35","2,37%",20/10
REPSOL,"15,29",pujada,"+0,03%","0,01","63.228.158,42","23.269,88","11,03","5,18%",20/10
SANTANDER,"5,60",pujada,"+0,52%","0,03","207.534.309,30","89.763,05","11,84","3,95%",20/10
TECNICAS REUNIDAS,"25,59",baixada,"-0,56%","-0,15","9.351.700,35","1.435,97","10,63","5,40%",20/10
TELEFONICA,"8,86",pujada,"+0,43%","0,04","138.117.715,46","44.665,18","12,63","4,35%",20/10
