Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"18,90",pujada,"+0,00%","0,00","80.523.408,57","18.797,44","20,32","3,99%",27/10
ACCIONA,"68,30",pujada,"+0,60%","0,41","8.638.845,71","3.893,65","15,64","4,34%",27/10
ACS,"32,79",baixada,"-0,82%","-0,27","18.854.968,42","10.258,07","13,50","3,60%",27/10
ADVEO,"2,62",baixada,"-1,50%","-0,04","106.918,91","55,06","17,10","0,00%",27/10
Atresmedia,"8,54",baixada,"-1,04%","-0,09","2.774.219,63","1.913,18","13,40","6,20%",27/10
BBVA,"7,19",baixada,"-2,60%","-0,19","241.190.395,50","47.848,75","11,53","3,42%",27/10
BME,"28,480",baixada,"-0,18%","-0,050","3.320.737,06","2.384,30","15,02","6,34%",27/10
CAIXABANK,"3,84",baixada,"-2,74%","-0,11","145.010.816,49","22.591,89","13,61","3,64%",27/10
DIA,"4,05",baixada,"-2,36%","-0,10","31.412.105,82","2.511,61","10,85","4,75%",27/10
ENAGAS,"24,19",pujada,"+0,46%","0,11","21.100.798,32","5.751,11","12,26","6,06%",27/10
ENCE,"4,885",baixada,"-0,71%","-0,035","2.586.706,77","1.198,12","14,49","3,26%",27/10
ENDESA,"19,07",baixada,"-0,75%","-0,15","15.435.164,23","20.179,82","15,25","6,90%",27/10
FCC,"8,34",baixada,"-0,60%","-0,05","365.133,86","3.159,78","17,91","0,00%",27/10
FERROVIAL,"18,20",baixada,"-0,68%","-0,13","33.218.668,64","13.337,24","33,90","3,17%",27/10
GAS NATURAL,"18,20",baixada,"-0,93%","-0,17","23.860.885,91","18.277,59","14,27","5,43%",27/10
IAG (IBERIA),"7,07",baixada,"-6,26%","-0,47","44.540.670,72","15.120,76","7,45","3,60%",27/10
IBERDROLA,"6,68",baixada,"-0,88%","-0,06","109.432.549,17","42.238,91","15,41","4,93%",27/10
MAPFRE,"2,69",baixada,"-2,47%","-0,07","18.095.999,04","8.296,32","12,28","5,39%",27/10
MEDIASET,"9,005",baixada,"-1,11%","-0,101","10.315.634,68","3.043,59","16,15","5,87%",27/10
POPULAR,"0,32",baixada,"-6,21%","-0,02","80.937.179,78","1.305,22","0,00","0,00%",8/06
REE,"18,39",baixada,"-0,19%","-0,04","20.557.639,45","9.928,82","14,62","5,07%",27/10
REPSOL,"15,55",pujada,"+0,52%","0,08","61.776.765,31","23.697,55","10,92","5,23%",27/10
SABADELL,"1,59",baixada,"-4,85%","-0,08","100.741.777,15","8.884,75","11,61","3,69%",27/10
SAETA YIELD,"9,40",baixada,"-0,80%","-0,08","640.502,27","770,17","16,63","7,88%",27/10
SANTANDER,"5,70",baixada,"-1,98%","-0,12","338.689.598,44","91.575,63","11,95","3,93%",27/10
TECNICAS REUNIDAS,"26,50",baixada,"-0,79%","-0,21","14.088.680,63","1.462,80","10,50","5,47%",27/10
TELEFONICA,"8,69",baixada,"-1,22%","-0,11","166.600.741,25","43.995,15","12,31","4,51%",27/10
ZARDOYA OTIS,"9,15",pujada,"+1,78%","0,16","2.626.311,91","4.262,41","27,03","3,59%",27/10
