Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"18,71",pujada,"+0,75%","0,14","58.118.389,71","18.470,61","20,15","4,06%",17:38
ACCIONA,"69,78",baixada,"-2,15%","-1,53","11.552.184,13","4.001,30","15,80","4,30%",17:38
ACERINOX,"12,37",baixada,"-2,21%","-0,28","28.707.416,32","3.394,25","15,64","3,77%",17:38
ACS,"34,49",baixada,"-0,07%","-0,03","21.304.419,61","10.837,05","13,54","3,68%",17:38
AENA,"159,00",pujada,"+0,22%","0,35","22.607.248,70","23.782,50","18,89","2,68%",17:38
AMADEUS,"58,08",baixada,"-0,62%","-0,36","34.522.189,23","25.425,38","24,59","1,84%",17:38
ARCELORMITTAL,"25,48",pujada,"+0,53%","0,14","10.976.940,91","25.935,91","0,00","0,00%",17:38
BANKIA,"4,05",baixada,"-0,12%","-0,01","17.841.074,32","11.661,30","13,89","3,14%",17:38
BANKINTER,"7,85",baixada,"-1,69%","-0,14","22.272.310,32","7.073,18","14,94","3,28%",17:38
BBVA,"7,46",baixada,"-0,23%","-0,02","109.087.249,54","49.482,39","11,34","3,48%",17:38
CAIXABANK,"4,04",baixada,"-1,05%","-0,04","69.688.357,01","24.129,12","13,23","3,68%",17:38
CELLNEX TELECOM,"21,30",baixada,"-1,05%","-0,23","11.598.234,66","4.939,49","70,63","0,48%",17:38
DIA,"4,18",baixada,"-0,69%","-0,03","22.208.284,03","2.597,51","10,60","5,05%",17:38
ENAGAS,"24,44",pujada,"+0,35%","0,09","19.385.884,94","5.816,76","12,22","6,04%",17:38
ENDESA,"19,38",baixada,"-0,72%","-0,14","30.058.163,44","20.576,85","15,02","6,96%",17:38
FERROVIAL,"18,63",pujada,"+0,70%","0,13","29.083.031,42","13.729,18","33,90","3,17%",17:38
GAMESA,"12,38",baixada,"-0,40%","-0,05","28.723.781,36","8.442,77","13,54","1,42%",17:38
GAS NATURAL,"18,40",pujada,"+0,11%","0,02","23.325.075,66","18.417,69","14,02","5,49%",17:38
GRIFOLS,"25,81",baixada,"-4,23%","-1,14","32.281.713,63","10.998,41","24,90","1,41%",17:38
IAG (IBERIA),"7,08",baixada,"-2,39%","-0,17","24.541.267,80","15.063,17","7,14","3,76%",17:38
IBERDROLA,"6,90",baixada,"-0,26%","-0,02","77.316.044,08","43.641,39","15,47","4,90%",17:38
INDITEX,"31,20",baixada,"-0,86%","-0,27","82.400.763,44","97.114,88","28,42","2,37%",17:38
INDRA,"12,16",baixada,"-1,18%","-0,15","13.939.354,33","2.146,35","19,49","0,00%",17:38
INM. COLONIAL,"7,96",baixada,"-2,06%","-0,17","10.235.643,37","3.132,30","33,26","2,51%",17:38
MAPFRE,"2,81",baixada,"-0,14%","-0,00","11.656.659,73","8.631,99","12,51","5,40%",17:38
MEDIASET,"9,079",baixada,"-2,23%","-0,207","10.357.531,25","3.048,30","15,53","6,11%",17:38
MELIA HOTELS INTL,"11,56",baixada,"-1,37%","-0,16","5.881.093,95","2.663,37","22,32","1,28%",17:38
MERLIN PROP.,"11,06",baixada,"-1,16%","-0,13","15.021.369,09","5.195,66","18,48","4,20%",17:38
REE,"18,31",pujada,"+0,03%","0,01","21.014.720,27","9.885,53","14,81","5,00%",17:38
REPSOL,"16,16",pujada,"+0,00%","0,00","60.413.376,80","24.690,36","11,10","5,15%",17:38
SABADELL,"1,73",baixada,"-0,52%","-0,01","38.305.892,22","9.710,33","11,34","3,78%",17:38
SANTANDER,"5,82",baixada,"-0,19%","-0,01","170.996.047,41","92.971,16","12,30","3,85%",17:38
TECNICAS REUNIDAS,"27,99",pujada,"+2,28%","0,63","16.885.588,75","1.567,60","10,88","5,28%",17:38
TELEFONICA,"9,03",baixada,"-0,12%","-0,01","93.123.626,58","45.531,68","12,07","4,60%",17:38
VISCOFAN,"51,15",baixada,"-0,83%","-0,43","5.219.747,96","2.381,91","18,66","2,91%",17:38
