Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,98",baixada,"-0,20%","-0,01","20.754,76","46,20","0,00","0,00%",3/11
ABENGOA,"0,04",baixada,"-2,70%","-0,00","1.172.451,06","57,31","0,00","0,00%",3/11
ABENGOA CL.B,"0,01",pujada,"+0,00%","0,00","1.154.234,27","206,39","0,00","0,00%",3/11
ABERTIS,"18,52",baixada,"-1,02%","-0,19","15.644.837,83","18.366,62","20,15","4,06%",3/11
ACCIONA,"68,72",baixada,"-1,52%","-1,06","10.664.159,70","3.942,32","15,80","4,30%",3/11
ACERINOX,"12,06",baixada,"-2,51%","-0,31","25.300.878,67","3.316,95","15,64","3,77%",3/11
ACS,"34,19",baixada,"-0,87%","-0,30","17.565.582,93","10.761,53","13,54","3,68%",3/11
ADVEO,"2,74",pujada,"+0,00%","0,00","57.874,89","58,91","16,23","0,00%",3/11
AENA,"159,90",pujada,"+0,57%","0,90","19.862.703,50","23.970,00","18,89","2,68%",3/11
AIRBUS,"87,15",pujada,"+0,87%","0,75","334.181,05","67.533,56","26,47","1,64%",3/11
ALANTRA,"12,20",pujada,"+0,16%","0,02","172.567,02","432,13","11,54","7,61%",3/11
ALBA,"49,93",baixada,"-0,14%","-0,07","199.349,06","2.926,66","6,91","2,07%",3/11
ALMIRALL,"8,13",pujada,"+1,12%","0,09","4.450.411,12","1.404,36","0,00","2,33%",3/11
AMADEUS,"58,79",pujada,"+1,22%","0,71","55.668.822,98","25.851,03","24,59","1,84%",3/11
AMPER,"0,20",baixada,"-0,50%","-0,00","683.509,18","167,42","0,00","0,00%",3/11
APERAM,"47,11",baixada,"-1,57%","-0,74","7.824,67","3.964,04","0,00","0,00%",3/11
APPLUS SERVICES,"11,28",baixada,"-1,53%","-0,18","4.847.507,85","1.763,81","18,29","1,10%",3/11
ARCELORMITTAL,"25,51",pujada,"+0,12%","0,03","13.253.658,29","26.032,99","0,00","0,00%",3/11
AXIA REAL ESTATE,"16,07",pujada,"+1,29%","0,21","1.517.022,57","1.272,51","43,97","1,79%",3/11
AZKOYEN,"8,24",pujada,"+1,48%","0,12","109.334,19","204,14","17,41","0,00%",3/11
Atresmedia,"8,52",baixada,"-0,58%","-0,05","2.348.629,44","1.913,18","13,14","6,32%",3/11
BANKIA,"4,01",baixada,"-0,96%","-0,04","16.916.992,56","11.505,81","13,89","3,14%",3/11
BANKINTER,"7,79",baixada,"-0,85%","-0,07","15.704.868,78","6.990,48","14,94","3,28%",3/11
BARON DE LEY,"112,00",baixada,"-2,54%","-2,85","13.708,65","461,20","21,37","0,00%",3/11
BAYER,"114,00",baixada,"-0,44%","-0,50","56.881,50","95.925,95","0,00","0,00%",3/11
BBVA,"7,33",baixada,"-1,76%","-0,13","143.440.160,38","48.768,92","11,34","3,48%",3/11
BIOSEARCH,"0,52",baixada,"-1,00%","-0,01","99.439,15","28,56","0,00","0,00%",3/11
