Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"12,13",baixada,"-0,29%","-0,04","8.658.383,49","3.332,14","15,42","3,75%",12/10
ACS,"31,09",pujada,"+0,05%","0,02","19.024.367,75","9.759,32","12,65","3,87%",12/10
DIA,"4,38",baixada,"-1,55%","-0,07","19.185.252,55","2.738,81","11,26","4,40%",12/10
FERROVIAL,"18,64",pujada,"+0,11%","0,02","22.574.892,89","13.762,46","33,90","3,17%",12/10
GAMESA,"12,56",baixada,"-1,65%","-0,21","34.490.445,30","8.548,35","12,94","1,55%",12/10
INDITEX,"31,40",pujada,"+0,00%","0,00","52.538.272,31","97.971,96","28,13","2,39%",12/10
REPSOL,"15,35",baixada,"-0,32%","-0,05","46.893.670,39","23.330,97","10,99","5,24%",12/10
SANTANDER,"5,63",baixada,"-0,28%","-0,02","135.387.552,12","90.148,02","12,29","3,81%",12/10
TECNICAS REUNIDAS,"25,51",baixada,"-0,60%","-0,16","12.564.797,37","1.423,11","10,49","5,40%",12/10
TELEFONICA,"9,16",baixada,"-0,61%","-0,06","76.269.406,51","46.020,35","12,35","4,44%",12/10
