Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"17,43",pujada,"+0,29%","0,05","31.541.633,17","17.193,02","18,48","4,40%",12/10
ACCIONA,"68,18",baixada,"-0,93%","-0,64","6.869.680,53","3.892,50","15,26","4,38%",12/10
ACS,"31,09",pujada,"+0,05%","0,02","19.024.367,75","9.759,32","12,65","3,87%",12/10
ADVEO,"2,78",baixada,"-0,71%","-0,02","2.372,00","61,48","17,60","0,00%",12/10
Atresmedia,"8,83",baixada,"-1,78%","-0,16","1.942.038,43","1.985,04","13,18","6,44%",12/10
BBVA,"7,37",pujada,"+0,01%","0,00","71.987.516,83","48.875,61","11,46","3,42%",12/10
BME,"28,840",pujada,"+1,55%","0,440","1.696.707,95","2.397,26","15,05","6,29%",12/10
CAIXABANK,"4,07",pujada,"+0,32%","0,01","36.531.447,04","24.308,56","14,00","3,44%",12/10
DIA,"4,38",baixada,"-1,55%","-0,07","19.185.252,55","2.738,81","11,26","4,40%",12/10
ENAGAS,"24,29",pujada,"+0,06%","0,02","19.769.899,21","5.770,21","11,94","6,26%",12/10
ENCE,"4,715",pujada,"+2,61%","0,120","1.814.014,58","1.156,25","13,19","3,32%",12/10
ENDESA,"19,52",pujada,"+0,46%","0,09","24.908.959,62","20.539,79","14,69","7,13%",12/10
FCC,"7,98",pujada,"+0,23%","0,02","176.371,11","3.033,63","18,18","0,00%",12/10
FERROVIAL,"18,64",pujada,"+0,11%","0,02","22.574.892,89","13.762,46","33,90","3,17%",12/10
GAS NATURAL,"18,56",baixada,"-0,72%","-0,14","27.578.281,22","18.492,74","14,13","5,46%",12/10
IAG (IBERIA),"6,98",pujada,"+0,29%","0,02","14.451.020,30","14.860,53","6,96","3,88%",12/10
IBERDROLA,"6,76",pujada,"+0,31%","0,02","68.884.544,27","42.561,10","14,86","5,03%",12/10
MAPFRE,"2,67",baixada,"-2,20%","-0,06","18.803.479,65","8.262,44","10,63","5,24%",12/10
MEDIASET,"9,467",baixada,"-0,68%","-0,065","7.537.670,67","3.180,97","16,22","5,87%",12/10
POPULAR,"0,32",baixada,"-6,21%","-0,02","80.937.179,78","1.305,22","0,00","0,00%",8/06
REE,"18,21",baixada,"-0,25%","-0,05","18.476.036,60","9.839,54","14,17","5,24%",12/10
REPSOL,"15,35",baixada,"-0,32%","-0,05","46.893.670,39","23.330,97","10,99","5,24%",12/10
SABADELL,"1,67",baixada,"-0,59%","-0,01","25.023.146,24","9.468,83","11,84","3,62%",12/10
SAETA YIELD,"9,49",pujada,"+0,63%","0,06","1.228.215,50","773,92","16,10","8,14%",12/10
SANTANDER,"5,63",baixada,"-0,28%","-0,02","135.387.552,12","90.148,02","12,29","3,81%",12/10
TECNICAS REUNIDAS,"25,51",baixada,"-0,60%","-0,16","12.564.797,37","1.423,11","10,49","5,40%",12/10
TELEFONICA,"9,16",baixada,"-0,61%","-0,06","76.269.406,51","46.020,35","12,35","4,44%",12/10
ZARDOYA OTIS,"9,10",pujada,"+0,00%","0,00","1.331.919,64","4.271,82","27,15","3,46%",12/10
