Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,Bitcoin,BTC,"$89,367,239,138",$5377.24,"16,619,537","$2,684,400,000",1.01%,11.44%,24.06%
2,Ethereum,ETH,"$28,983,785,370",$304.85,"95,077,122","$514,284,000",-0.37%,0.58%,3.05%
3,Ripple,XRP,"$9,814,705,186",$0.254264,"38,600,451,446*","$233,724,000",-0.53%,-3.82%,7.69%
4,Bitcoin Cash,BCH,"$5,307,936,202",$318.07,"16,687,688","$258,519,000",0.57%,1.18%,-11.09%
5,Litecoin,LTC,"$3,104,834,615",$58.20,"53,345,107","$309,116,000",3.04%,14.37%,12.74%
6,Dash,DASH,"$2,240,778,779",$294.16,"7,617,629","$41,501,200",0.21%,-1.61%,-3.38%
7,NEM,XEM,"$1,869,129,000",$0.207681,"8,999,999,999*","$4,294,780",1.05%,-3.40%,-1.94%
8,NEO,NEO,"$1,390,425,000",$27.81,"50,000,000*","$57,836,500",-2.03%,-7.86%,-14.46%
9,BitConnect,BCC,"$1,324,535,490",$185.06,"7,157,214","$15,451,700",0.85%,11.17%,32.98%
10,Monero,XMR,"$1,322,928,323",$86.98,"15,209,761","$31,811,500",0.15%,-0.78%,-4.85%
11,IOTA,MIOTA,"$1,213,512,347",$0.436589,"2,779,530,283*","$16,090,100",3.41%,-9.30%,-20.68%
12,Ethereum Classic,ETC,"$1,136,814,748",$11.79,"96,403,140","$54,680,200",-0.68%,2.70%,-1.94%
13,OmiseGO,OMG,"$809,379,299",$8.23,"98,312,024*","$49,498,100",-3.11%,-10.26%,-5.38%
14,Cardano,ADA,"$684,163,537",$0.026388,"25,927,070,538*","$8,470,870",1.63%,17.41%,23.74%
15,Qtum,QTUM,"$672,611,800",$11.40,"59,000,000*","$30,219,200",-0.69%,-6.12%,-3.69%
16,Lisk,LSK,"$565,850,055",$4.99,"113,455,010*","$12,469,700",-1.45%,-6.45%,-8.28%
17,Zcash,ZEC,"$546,036,210",$228.95,"2,384,969","$37,842,800",-0.53%,-3.13%,-11.23%
18,Tether,USDT,"$435,750,829",$0.997001,"437,061,577*","$211,084,000",-0.14%,-0.21%,-0.36%
19,Waves,WAVES,"$378,268,000",$3.78,"100,000,000*","$5,741,540",-0.85%,-9.46%,-23.95%
20,Hshare,HSR,"$326,821,618",$9.69,"33,716,413","$17,092,500",-0.09%,-2.34%,42.60%
21,Stratis,STRAT,"$310,321,269",$3.15,"98,579,469*","$8,357,670",-1.01%,-9.44%,-12.03%
22,Stellar Lumens,XLM,"$296,981,842",$0.017904,"16,587,642,975*","$14,381,100",-0.49%,-8.35%,22.07%
23,Ark,ARK,"$265,129,516",$2.71,"97,981,284*","$2,923,730",0.41%,-4.71%,1.59%
24,Bytecoin,BCN,"$258,702,680",$0.001412,"183,253,534,612","$3,575,000",-0.80%,-3.94%,12.05%
25,Steem,STEEM,"$249,520,107",$1.02,"243,645,807","$1,652,940",-0.63%,-5.94%,-13.47%
26,EOS,EOS,"$240,371,475",$0.599941,"400,658,523*","$8,729,730",-1.11%,-2.48%,-0.81%
27,Ardor,ARDR,"$217,642,030",$0.217860,"998,999,495*","$2,950,250",-0.47%,7.08%,16.99%
28,TenX,PAY,"$215,065,386",$2.05,"104,661,310*","$3,560,400",-0.90%,-7.06%,-4.58%
