Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,Bitcoin,BTC,"$90,525,666,972",$5446.91,"16,619,637","$2,791,610,000",1.95%,12.78%,25.61%
2,Ethereum,ETH,"$28,916,525,240",$304.14,"95,077,614","$527,557,000",-0.39%,0.23%,2.77%
3,Ripple,XRP,"$9,588,892,546",$0.248414,"38,600,451,446*","$245,004,000",-2.84%,-6.22%,5.20%
4,Bitcoin Cash,BCH,"$5,226,976,847",$313.21,"16,688,250","$262,066,000",-1.31%,-0.34%,-12.60%
5,Litecoin,LTC,"$3,206,464,408",$60.11,"53,345,407","$341,369,000",5.11%,18.02%,16.39%
6,Dash,DASH,"$2,223,697,442",$291.91,"7,617,672","$42,625,600",-0.74%,-2.23%,-4.16%
7,NEM,XEM,"$1,855,323,000",$0.206147,"8,999,999,999*","$4,425,210",-0.35%,-3.94%,-2.72%
8,NEO,NEO,"$1,408,995,000",$28.18,"50,000,000*","$61,080,400",0.64%,-6.64%,-13.43%
9,BitConnect,BCC,"$1,346,209,675",$188.09,"7,157,378","$15,616,200",2.07%,12.84%,35.08%
10,Monero,XMR,"$1,324,664,310",$87.09,"15,209,873","$32,783,200",0.39%,-0.54%,-4.75%
11,Ethereum Classic,ETC,"$1,153,175,929",$11.96,"96,404,077","$56,959,300",1.03%,4.12%,-0.69%
12,IOTA,MIOTA,"$1,146,325,541",$0.412417,"2,779,530,283*","$16,792,100",-4.77%,-14.46%,-25.04%
13,OmiseGO,OMG,"$805,910,850",$8.20,"98,312,024*","$49,996,900",-1.95%,-11.18%,-5.80%
14,Cardano,ADA,"$680,640,048",$0.026252,"25,927,070,538*","$8,680,640",-1.24%,16.64%,23.20%
15,Qtum,QTUM,"$666,399,100",$11.29,"59,000,000*","$31,335,300",-1.50%,-7.09%,-4.64%
16,Lisk,LSK,"$565,180,951",$4.98,"113,456,205*","$12,557,300",-0.47%,-6.88%,-8.35%
17,Zcash,ZEC,"$541,440,009",$227.00,"2,385,156","$39,391,300",-1.13%,-3.94%,-12.34%
18,Tether,USDT,"$435,935,269",$0.997423,"437,061,577*","$216,202,000",-0.08%,-0.17%,-0.31%
19,Waves,WAVES,"$368,573,000",$3.69,"100,000,000*","$6,289,170",-3.54%,-11.76%,-25.96%
20,Hshare,HSR,"$330,614,511",$9.81,"33,716,530","$17,543,300",1.06%,-1.51%,44.73%
21,Stratis,STRAT,"$307,797,750",$3.12,"98,579,506*","$8,527,240",-0.50%,-10.46%,-12.90%
22,Stellar Lumens,XLM,"$294,994,643",$0.017784,"16,587,642,975*","$14,626,800",-0.61%,-9.01%,20.20%
23,Ark,ARK,"$261,653,140",$2.67,"97,981,284*","$2,966,810",-0.38%,-6.42%,0.28%
24,Bytecoin,BCN,"$260,791,770",$0.001423,"183,253,534,612","$3,586,510",1.51%,-2.47%,12.91%
25,Steem,STEEM,"$252,764,900",$1.04,"243,647,607","$1,717,420",0.13%,-4.95%,-12.43%
26,EOS,EOS,"$237,078,869",$0.591723,"400,658,533*","$8,681,880",-2.10%,-3.21%,-2.09%
27,Ardor,ARDR,"$218,792,877",$0.219012,"998,999,495*","$2,968,530",0.61%,7.33%,17.19%
28,TenX,PAY,"$216,896,959",$2.07,"104,661,310*","$3,646,780",-0.20%,-5.79%,-3.93%
29,Augur,REP,"$200,527,800",$18.23,"11,000,000*","$1,701,010",-1.45%,-2.19%,-3.88%
30,SALT,SALT,"$196,211,079",$3.59,"54,675,000*","$2,160,950",1.30%,-6.01%,-14.32%
31,PIVX,PIVX,"$193,023,581",$3.54,"54,471,195*","$1,731,330",3.47%,-1.28%,4.72%
32,Basic Attenti...,BAT,"$190,453,000",$0.190453,"1,000,000,000*","$4,844,030",-3.07%,-1.81%,-17.67%
33,MonaCoin,MONA,"$185,445,820",$3.40,"54,578,525","$40,889,700",15.50%,143.37%,606.71%
