Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"17,43",pujada,"+0,29%","0,05","31.541.633,17","17.193,02","18,48","4,40%",12/10
ACCIONA,"68,18",baixada,"-0,93%","-0,64","6.869.680,53","3.892,50","15,26","4,38%",12/10
ACERINOX,"12,13",baixada,"-0,29%","-0,04","8.658.383,49","3.332,14","15,42","3,75%",12/10
ACS,"31,09",pujada,"+0,05%","0,02","19.024.367,75","9.759,32","12,65","3,87%",12/10
AENA,"151,80",pujada,"+0,43%","0,65","15.026.355,45","22.702,50","18,96","2,67%",12/10
AMADEUS,"57,44",pujada,"+1,18%","0,67","27.458.409,06","25.148,92","24,27","1,85%",12/10
ARCELORMITTAL,"22,95",pujada,"+2,64%","0,59","7.109.859,80","23.222,76","0,00","0,00%",12/10
BANKIA,"4,04",baixada,"-0,25%","-0,01","12.566.532,33","11.569,16","13,80","3,18%",12/10
BANKINTER,"7,94",baixada,"-0,04%","-0,00","7.372.588,84","7.122,62","14,79","3,32%",12/10
BBVA,"7,37",pujada,"+0,01%","0,00","71.987.516,83","48.875,61","11,46","3,42%",12/10
CAIXABANK,"4,07",pujada,"+0,32%","0,01","36.531.447,04","24.308,56","14,00","3,44%",12/10
CELLNEX TELECOM,"20,30",pujada,"+2,47%","0,49","15.288.629,23","4.654,52","64,20","0,53%",12/10
DIA,"4,38",baixada,"-1,55%","-0,07","19.185.252,55","2.738,81","11,26","4,40%",12/10
ENAGAS,"24,29",pujada,"+0,06%","0,02","19.769.899,21","5.770,21","11,94","6,26%",12/10
ENDESA,"19,52",pujada,"+0,46%","0,09","24.908.959,62","20.539,79","14,69","7,13%",12/10
FERROVIAL,"18,64",pujada,"+0,11%","0,02","22.574.892,89","13.762,46","33,90","3,17%",12/10
GAMESA,"12,56",baixada,"-1,65%","-0,21","34.490.445,30","8.548,35","12,94","1,55%",12/10
GAS NATURAL,"18,56",baixada,"-0,72%","-0,14","27.578.281,22","18.492,74","14,13","5,46%",12/10
GRIFOLS,"24,25",pujada,"+0,12%","0,03","9.613.850,80","10.340,04","24,50","1,45%",12/10
IAG (IBERIA),"6,98",pujada,"+0,29%","0,02","14.451.020,30","14.860,53","6,96","3,88%",12/10
IBERDROLA,"6,76",pujada,"+0,31%","0,02","68.884.544,27","42.561,10","14,86","5,03%",12/10
INDITEX,"31,40",pujada,"+0,00%","0,00","52.538.272,31","97.971,96","28,13","2,39%",12/10
INDRA,"13,26",pujada,"+0,34%","0,05","4.659.451,00","2.349,50","19,14","0,00%",12/10
INM. COLONIAL,"8,04",pujada,"+0,84%","0,07","13.439.766,24","3.166,84","33,70","2,45%",12/10
MAPFRE,"2,67",baixada,"-2,20%","-0,06","18.803.479,65","8.262,44","10,63","5,24%",12/10
MEDIASET,"9,467",baixada,"-0,68%","-0,065","7.537.670,67","3.180,97","16,22","5,87%",12/10
MELIA HOTELS INTL,"12,30",baixada,"-0,49%","-0,06","5.167.826,80","2.828,76","23,12","1,22%",12/10
MERLIN PROP.,"11,22",pujada,"+0,27%","0,03","14.281.019,22","5.256,73","19,03","3,99%",12/10
REE,"18,21",baixada,"-0,25%","-0,05","18.476.036,60","9.839,54","14,17","5,24%",12/10
REPSOL,"15,35",baixada,"-0,32%","-0,05","46.893.670,39","23.330,97","10,99","5,24%",12/10
SABADELL,"1,67",baixada,"-0,59%","-0,01","25.023.146,24","9.468,83","11,84","3,62%",12/10
SANTANDER,"5,63",baixada,"-0,28%","-0,02","135.387.552,12","90.148,02","12,29","3,81%",12/10
TECNICAS REUNIDAS,"25,51",baixada,"-0,60%","-0,16","12.564.797,37","1.423,11","10,49","5,40%",12/10
TELEFONICA,"9,16",baixada,"-0,61%","-0,06","76.269.406,51","46.020,35","12,35","4,44%",12/10
VISCOFAN,"51,02",baixada,"-0,39%","-0,20","4.645.086,36","2.386,57","19,04","2,83%",12/10
